id,pm25,timestamp,Location
53,54,2025-03-28 01:10:53,"36.112146, 43.953925"
54,53,2025-03-28 07:10:54,"36.112146, 43.953925"
55,52,2025-03-28 13:10:55,"36.112146, 43.953925"
56,51,2025-03-28 19:10:56,"36.112146, 43.953925"
57,49,2025-03-29 01:10:57,"36.112146, 43.953925"
58,48,2025-03-29 07:10:57,"36.112146, 43.953925"
59,47,2025-03-29 13:10:58,"36.112146, 43.953925"
60,45,2025-03-29 19:10:59,"36.112146, 43.953925"
61,44,2025-03-30 01:11:00,"36.112146, 43.953925"
62,42,2025-03-30 07:11:00,"36.112146, 43.953925"
63,41,2025-03-30 13:11:01,"36.112146, 43.953925"
64,40,2025-03-30 19:11:02,"36.112146, 43.953925"
65,38,2025-03-31 01:11:02,"36.112146, 43.953925"
66,38,2025-03-31 07:11:03,"36.112146, 43.953925"
67,37,2025-03-31 13:11:04,"36.112146, 43.953925"
68,54,2025-03-31 17:00:48,"36.112146, 43.953925"
69,54,2025-03-31 23:00:48,"36.112146, 43.953925"
70,53,2025-04-01 05:00:49,"36.112146, 43.953925"
71,53,2025-04-01 11:00:50,"36.112146, 43.953925"
72,53,2025-04-01 17:00:51,"36.112146, 43.953925"
73,53,2025-04-01 23:00:52,"36.112146, 43.953925"
74,53,2025-04-02 05:00:52,"36.112146, 43.953925"
75,54,2025-04-02 11:00:53,"36.112146, 43.953925"
76,54,2025-04-02 17:00:54,"36.112146, 43.953925"
77,54,2025-04-02 23:00:55,"36.112146, 43.953925"
78,54,2025-04-03 05:00:55,"36.112146, 43.953925"
79,54,2025-04-03 11:00:56,"36.112146, 43.953925"
80,55,2025-04-03 17:01:01,"36.112146, 43.953925"
81,55,2025-04-03 23:01:02,"36.112146, 43.953925"
82,55,2025-04-04 05:01:02,"36.112146, 43.953925"
83,55,2025-04-04 11:01:03,"36.112146, 43.953925"
84,55,2025-04-04 17:01:04,"36.112146, 43.953925"
85,55,2025-04-04 23:01:05,"36.112146, 43.953925"
86,55,2025-04-05 05:01:06,"36.112146, 43.953925"
87,56,2025-04-05 11:01:07,"36.112146, 43.953925"
88,56,2025-04-05 17:01:08,"36.112146, 43.953925"
89,56,2025-04-05 23:01:08,"36.112146, 43.953925"
90,56,2025-04-06 05:01:09,"36.112146, 43.953925"
91,56,2025-04-06 11:01:10,"36.112146, 43.953925"
92,59,2025-04-06 19:20:49,"36.112146, 43.953925"
93,59,2025-04-07 01:20:55,"36.112146, 43.953925"
94,59,2025-04-07 07:20:56,"36.112146, 43.953925"
95,59,2025-04-07 13:20:57,"36.112146, 43.953925"
96,58,2025-04-07 19:20:59,"36.112146, 43.953925"
97,58,2025-04-08 01:21:00,"36.112146, 43.953925"
98,58,2025-04-08 07:21:01,"36.112146, 43.953925"
99,58,2025-04-08 13:21:01,"36.112146, 43.953925"
100,58,2025-04-08 19:21:04,"36.112146, 43.953925"
101,58,2025-04-09 01:21:06,"36.112146, 43.953925"
102,57,2025-04-09 07:21:07,"36.112146, 43.953925"
103,57,2025-04-09 13:21:08,"36.112146, 43.953925"
104,57,2025-04-09 19:21:10,"36.112146, 43.953925"
105,57,2025-04-10 01:21:11,"36.112146, 43.953925"
106,57,2025-04-10 07:21:14,"36.112146, 43.953925"
107,57,2025-04-10 13:21:15,"36.112146, 43.953925"
108,57,2025-04-10 19:21:15,"36.112146, 43.953925"
109,57,2025-04-11 01:21:16,"36.112146, 43.953925"
110,57,2025-04-11 07:21:17,"36.112146, 43.953925"
111,57,2025-04-11 13:21:18,"36.112146, 43.953925"
112,57,2025-04-11 19:21:19,"36.112146, 43.953925"
113,57,2025-04-12 01:21:20,"36.112146, 43.953925"
114,57,2025-04-12 07:21:20,"36.112146, 43.953925"
115,58,2025-04-12 13:21:21,"36.112146, 43.953925"
116,58,2025-04-12 19:21:23,"36.112146, 43.953925"
117,57,2025-04-13 01:21:23,"36.112146, 43.953925"
118,57,2025-04-13 07:21:25,"36.112146, 43.953925"
119,57,2025-04-13 13:21:25,"36.112146, 43.953925"
120,56,2025-04-13 19:21:26,"36.112146, 43.953925"
121,56,2025-04-14 01:21:27,"36.112146, 43.953925"
122,56,2025-04-14 07:21:28,"36.112146, 43.953925"
123,57,2025-04-14 13:21:28,"36.112146, 43.953925"
124,57,2025-04-14 19:21:29,"36.112146, 43.953925"
127,57,2025-04-15 01:21:31,"36.112146, 43.953925"
128,57,2025-04-15 07:21:32,"36.112146, 43.953925"
129,57,2025-04-15 13:21:33,"36.112146, 43.953925"
130,58,2025-04-15 19:21:34,"36.112146, 43.953925"
133,40,2025-04-16 01:02:21,"36.213724, 43.988080"
134,58,2025-04-16 01:21:34,"36.112146, 43.953925"
135,40,2025-04-16 07:02:21,"36.213724, 43.988080"
136,58,2025-04-16 07:21:35,"36.112146, 43.953925"
137,40,2025-04-16 13:02:22,"36.213724, 43.988080"
